,prop_type,price,beds,baths,source,city,sqft
109,condo,1325,4,2,unit_rental,New York,150.0739564506731
110,condo,1325,6,2,unit_rental,New York,215.56047848697506
111,condo,1325,6,2,unit_rental,New York,215.56047848697506
112,condo,1325,6,2,unit_rental,New York,215.56047848697506
113,condo,1325,3,1,unit_rental,New York,180.04613529134627
114,condo,1325,6,2,unit_rental,New York,215.56047848697506
115,condo,1325,6,2,unit_rental,New York,215.56047848697506
118,condo,1350,4,1,unit_rental,New York,223.46530249580792
119,condo,1350,6,2,unit_rental,New York,226.23638467328573
120,condo,1350,4,2,unit_rental,New York,160.74986263698383
122,condo,1350,6,2,unit_rental,New York,226.23638467328573
123,condo,1350,6,2,unit_rental,New York,226.23638467328573
124,condo,1350,3,1,unit_rental,New York,190.72204147765694
125,apartment,1350,2,1,community,New York,264.66215411737653
127,single_family,1360,3,1,unit_rental,New York,781.8868284648404
128,single_family,1360,4,2,unit_rental,New York,751.9146496241673
131,condo,1375,3,1,unit_rental,New York,201.3979476639676
133,condo,1375,5,2,unit_rental,New York,204.16902984144542
135,condo,1375,4,1,unit_rental,New York,234.14120868211853
136,condo,1375,4,1,unit_rental,New York,234.14120868211853
138,condo,1375,4,1,unit_rental,New York,234.14120868211853
140,condo,1380,5,3,unit_rental,New York,143.58877121988348
142,single_family,1395,1,1,unit_rental,Brooklyn,1358.198474279996
145,condo,1400,3,1,unit_rental,New York,212.07385385027828
146,condo,1400,2,1,unit_rental,New York,179.3305928321273
149,condo,1400,6,2,unit_rental,New York,247.588197045907
150,condo,1400,6,2,unit_rental,New York,247.588197045907
151,condo,1400,4,3,unit_rental,New York,119.38623515078109
153,condo,1400,3,1,unit_rental,New York,212.07385385027828
154,single_family,1400,4,2,unit_rental,New York,768.9960995222643
155,condo,1400,4,2,unit_rental,New York,182.10167500960517
156,condo,1400,3,1,unit_rental,New York,212.07385385027828
157,condo,1400,5,2,unit_rental,New York,214.8449360277561
159,single_family,1400,1,1,mls,Brooklyn,1342.5788648421983
160,apartment,1400,1,1,unit_rental,Queens,656.062744476807
163,condo,1425,4,2,unit_rental,New York,192.7775811959158
164,condo,1425,3,1,unit_rental,New York,222.74976003658895
165,condo,1425,4,2,unit_rental,New York,192.7775811959158
166,condo,1425,4,2,unit_rental,New York,192.7775811959158
167,condo,1425,4,3,unit_rental,New York,130.0621413370917
168,condo,1430,5,3,unit_rental,New York,164.94058359250482
169,condo,1450,4,2,unit_rental,New York,203.45348738222646
